species,lagoon_island_zone_summary,year,date,month
Song Sparrow,14,2008,2008-08-08,Aug
Song Sparrow,9,2008,2008-09-09,Sep
Song Sparrow,8,2008,2008-10-02,Oct
Song Sparrow,2,2008,2008-11-12,Nov
Song Sparrow,3,2008,2008-12-18,Dec
Song Sparrow,10,2009,2009-01-15,Jan
Song Sparrow,11,2009,2009-02-18,Feb
Song Sparrow,13,2009,2009-03-10,Mar
Song Sparrow,13,2009,2009-04-22,Apr
Song Sparrow,8,2009,2009-05-13,May
Song Sparrow,8,2009,2009-06-10,Jun
Song Sparrow,1,2009,2009-07-09,Jul
Song Sparrow,9,2009,2009-08-12,Aug
Song Sparrow,5,2009,2009-09-16,Sep
Song Sparrow,5,2009,2009-10-06,Oct
Song Sparrow,0,2009,2009-11-17,Nov
Song Sparrow,4,2009,2009-12-15,Dec
Song Sparrow,1,2010,2010-01-12,Jan
Song Sparrow,9,2010,2010-02-11,Feb
Song Sparrow,6,2010,2010-03-09,Mar
Song Sparrow,16,2010,2010-04-13,Apr
Song Sparrow,17,2010,2010-05-03,May
Song Sparrow,8,2010,2010-06-14,Jun
Song Sparrow,20,2010,2010-07-14,Jul
Song Sparrow,24,2010,2010-08-12,Aug
Song Sparrow,5,2010,2010-09-21,Sep
Song Sparrow,3,2010,2010-10-12,Oct
Song Sparrow,3,2010,2010-11-16,Nov
Song Sparrow,4,2010,2010-12-14,Dec
Song Sparrow,13,2011,2011-01-18,Jan
Song Sparrow,24,2011,2011-02-24,Feb
Song Sparrow,13,2011,2011-03-15,Mar
Song Sparrow,18,2011,2011-04-12,Apr
Song Sparrow,31,2011,2011-05-23,May
Song Sparrow,19,2011,2011-06-22,Jun
Song Sparrow,21,2011,2011-07-25,Jul
Song Sparrow,30,2011,2011-08-23,Aug
Song Sparrow,13,2011,2011-09-15,Sep
Song Sparrow,3,2011,2011-10-19,Oct
Song Sparrow,5,2011,2011-11-10,Nov
Song Sparrow,7,2011,2011-12-15,Dec
Song Sparrow,19,2012,2012-01-24,Jan
Song Sparrow,50,2012,2012-03-15,Mar
Song Sparrow,33,2012,2012-04-17,Apr
Song Sparrow,22,2012,2012-05-23,May
Song Sparrow,32,2012,2012-06-21,Jun
Song Sparrow,8,2012,2012-07-11,Jul
Song Sparrow,8,2012,2012-08-17,Aug
Song Sparrow,17,2012,2012-09-18,Sep
Song Sparrow,7,2012,2012-10-19,Oct
Song Sparrow,2,2012,2012-11-20,Nov
Song Sparrow,4,2012,2012-12-17,Dec
Song Sparrow,15,2013,2013-01-15,Jan
Song Sparrow,16,2013,2013-02-21,Feb
Song Sparrow,26,2013,2013-03-19,Mar
Song Sparrow,20,2013,2013-04-12,Apr
Song Sparrow,14,2013,2013-05-10,May
Song Sparrow,1,2013,2013-06-13,Jun
Song Sparrow,1,2013,2013-07-17,Jul
Song Sparrow,10,2013,2013-08-22,Aug
Song Sparrow,6,2013,2013-09-24,Sep
Song Sparrow,5,2013,2013-10-11,Oct
Song Sparrow,3,2013,2013-11-14,Nov
Song Sparrow,11,2013,2013-12-10,Dec
Song Sparrow,5,2014,2014-01-24,Jan
Song Sparrow,9,2014,2014-02-19,Feb
Song Sparrow,12,2014,2014-03-19,Mar
Song Sparrow,12,2014,2014-04-24,Apr
Song Sparrow,6,2014,2014-05-21,May
Song Sparrow,3,2014,2014-06-20,Jun
Song Sparrow,3,2014,2014-07-17,Jul
Song Sparrow,4,2014,2014-08-12,Aug
Song Sparrow,4,2014,2014-09-08,Sep
Song Sparrow,7,2014,2014-10-09,Oct
Song Sparrow,3,2014,2014-11-19,Nov
Song Sparrow,6,2014,2014-12-22,Dec
Song Sparrow,4,2015,2015-01-22,Jan
Song Sparrow,17,2015,2015-02-13,Feb
Song Sparrow,17,2015,2015-03-09,Mar
Song Sparrow,19,2015,2015-04-09,Apr
Song Sparrow,8,2015,2015-05-19,May
Song Sparrow,5,2015,2015-06-17,Jun
Song Sparrow,7,2015,2015-07-17,Jul
Song Sparrow,3,2015,2015-08-21,Aug
Song Sparrow,6,2015,2015-09-25,Sep
Song Sparrow,1,2015,2015-10-22,Oct
Song Sparrow,2,2015,2015-11-23,Nov
Song Sparrow,1,2015,2015-12-07,Dec
Song Sparrow,5,2016,2016-01-22,Jan
Song Sparrow,6,2016,2016-02-17,Feb
Song Sparrow,6,2016,2016-03-10,Mar
Song Sparrow,13,2016,2016-04-08,Apr
Song Sparrow,24,2016,2016-05-16,May
Song Sparrow,42,2016,2016-06-13,Jun
Song Sparrow,4,2016,2016-07-12,Jul
Song Sparrow,9,2016,2016-08-18,Aug
Song Sparrow,2,2016,2016-09-13,Sep
Song Sparrow,4,2016,2016-10-18,Oct
Song Sparrow,0,2016,2016-11-17,Nov
Song Sparrow,1,2016,2016-12-15,Dec
